,"('vi', 100)","('pi', 100)","('vi', 200)","('pi', 200)","('vi', 300)","('pi', 300)","('vi', 400)","('pi', 400)","('vi', 500)","('pi', 500)","('vi', 600)","('pi', 600)","('vi', 700)","('pi', 700)","('vi', 800)","('pi', 800)","('vi', 900)","('pi', 900)","('vi', 1000)","('pi', 1000)"
336,,,,,,,4475.555273570201,4546.6678447935965,1506.6293327931712,1506.6301741521422,501.9654514473371,501.96629280631004,169.23766438123104,169.2385057402021,59.043815133255265,59.044656492226515,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
337,,,,,,,4525.956642821307,4597.069214044687,1523.321418939991,1523.3222602989613,507.49358975137136,507.4944311103433,171.06849084832004,171.0693322072917,59.65015407925255,59.65099543822373,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
338,,,,,,,4576.918078247741,4648.030649471132,1540.1989895882311,1540.1998309472012,513.0831574039064,513.0839987628783,172.91966168288127,172.92050304185224,60.2632307377264,60.264072096697525,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
339,,,,,,,4628.445803373305,4699.558374596695,1557.2641058643474,1557.26494722332,518.7348370153724,518.7356783743431,174.7914029540118,174.7922443129836,60.88311997896128,60.883961337932405,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
340,,,,,,,4680.546110878349,4751.65868210174,1574.5188517982758,1574.5196931572439,524.4493187814453,524.4501601404185,176.6839432429177,176.6847846018889,61.509897505209615,61.51073886418088,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
341,,,,,,,4733.22536336826,4804.337934591653,1591.9653345779545,1591.9661759369217,530.2273005673477,530.2281419263204,178.59751367082666,178.59835502979803,62.14363985993659,62.144481218907735,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
342,,,,,,,4786.489994150465,4857.602565373855,1609.6056848066448,1609.6065261656115,536.0694879930572,536.0703293520295,180.53234792721273,180.53318928618378,62.78442443716721,62.78526579613838,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
343,,,,,,,4840.346508020098,4911.45907924349,1627.442056763136,1627.442898122109,541.9765945194923,541.9774358784653,182.4886822983374,182.48952365730867,63.43232949093887,63.43317084991001,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
344,,,,,,,4894.801482054375,4965.914053277763,1645.4766286648317,1645.4774700237992,547.949341535636,547.9501828946077,184.4667556961042,184.4675970550752,64.08743414485684,64.08827550382816,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
345,,,,,,,4949.861566415774,5020.974137639163,1663.7116029337374,1663.7124442927095,553.9884584466308,553.9892998056024,186.46680968723263,186.46765104620428,64.74981840175855,64.75065976072958,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
346,,,,,,,5005.533485164226,5076.646056387608,1682.149206465461,1682.15004782443,560.0946827628588,560.095524121832,188.48908852276423,188.48992988173546,65.41956315348139,65.42040451245269,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
347,,,,,,,5061.824037078205,5132.936608301591,1700.7916909011274,1700.7925322600975,566.268760190014,566.2696015489869,190.53383916788565,190.53468052685645,66.09675019074392,66.09759154971508,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
348,,,,,,,5118.740096485067,5189.852667708456,1719.6413329023947,1719.6421742613627,572.5114447201552,572.5122860791274,192.60131133209111,192.60215269106268,66.78146221313229,66.78230357210353,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
349,,,,,,,5176.288614100529,5247.4011853239135,1738.700434429436,1738.701275788408,578.8234987237959,578.824340082767,194.69175749967872,194.69259885865029,67.47378283920142,67.47462419817252,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
350,,,,,,,5234.476617877495,5305.58918910088,1757.9713230221184,1757.972164381091,585.2056930430041,585.2065344019763,196.80543296058192,196.8062743195534,68.1737966166848,68.17463797565631,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
351,,,,,,,5293.311213864354,5364.423785087745,1777.4563520841864,1777.4571934431624,591.6588070855403,591.6596484445134,198.94259584154716,198.94343720051796,68.88158903282203,68.88243039179298,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
352,,,,,,,5352.799587072775,5423.912158296166,1797.157901170722,1797.1587425296927,598.1836289200378,598.1844702790111,201.10350713765555,201.10434849662684,69.59724652479552,69.59808788376677,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
353,,,,,,,5412.949002355149,5484.061573578538,1817.0783762786912,1817.0792176376658,604.7809553722446,604.7817967312179,203.28843074420078,203.28927210317184,70.3208564902899,70.32169784926121,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
354,,,,,,,5473.7668052918025,5544.879376515194,1837.2202101408034,1837.2210514997766,611.4515921223352,611.4524334813087,205.49763348891034,205.49847484788083,71.05250729816305,71.05334865713431,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
355,,,,,,,5535.260423088033,5606.372994311424,1857.5858625225949,1857.5867038815647,618.1963538033008,618.1971951622734,207.73138516453432,207.73222652350503,71.79228829923787,71.79312965820895,50.226472941924186,50.22649199667998,50.226472941924186,50.22649199667998
