,constant_1,constant_0.5,constant_0.1,constant_0.01,linear,geom,exp_decay
23,0.47058664158564995,0.6792813324734917,0.6123419931369813,0.6343096579848349,0.6799975873144073,0.6678386051178863,0.6575262493536035
24,0.0,0.46673243530192676,0.38982268683158305,0.302009887237562,0.3717596225137934,0.39183944171523,0.37714065955970033
25,0.0,0.46525884031139675,0.3456115370221619,0.27742120172799895,0.3378758697068182,0.34986972284671886,0.3347931410874946
26,0.0,0.042283408435179526,0.25023970570517456,0.20037300782881848,0.2409380598389477,0.24710329296028302,0.22834363995693344
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.04632626936096468,0.24591714900364492,0.1940153416118571,0.22005182573061308,0.18946148413442715,0.21023828444904424
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.29115045432916487,0.591349459888491,0.6195689344763035,0.6445815940607433,0.6383249908177965,0.6317158424666005
31,0.4612219674180955,0.683634782911591,0.684622297700033,0.690942295862244,0.7303321972370236,0.7281772039494746,0.7205090133409765
32,0.0,0.2929936227212939,0.34562697844598866,0.25681671991940874,0.3312763682959916,0.3501825544757737,0.34514004284772515
33,0.0,0.21716345787273092,0.13898221281617384,0.17259674379053908,0.2317477685249056,0.22471811261341657,0.21036155799420622
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.06221905112468711,0.2090565185879399,0.18710036320768034,0.2095694203975358,0.19222914961288895,0.19936508561511598
37,0.0,0.043390369964194556,0.36579681394241037,0.3026573899970534,0.30567588136502993,0.2888945034377129,0.2839997299641043
38,0.0,0.267107440356687,0.5553961569919476,0.5755678331539419,0.5989343182509129,0.5698880042424782,0.5721436828169912
39,0.47058664158564995,0.7677947147358971,0.752609433730302,0.7628217756516382,0.8047388067375958,0.8062091493086646,0.7793941362996594
40,0.0,0.2826436580672453,0.3156409469211231,0.2095499668135072,0.309133631204536,0.32259319168530803,0.3166234247629322
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.034706644547688875,0.1228699542598545,0.10301394470893048,0.09110902743915883,0.10802639654813302,0.10758242197344928
45,0.0,0.03801778007617134,0.1028992669327478,0.13003303716239165,0.12405765429287763,0.12276418687162158,0.13678270761275743
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.4658807751697934,0.8333433320431147,0.9243870574945092,0.8649316851897717,0.884168771857679,0.8909881255517973,0.8737939270460425
48,0.0,0.28442180154460894,0.2922801939104376,0.19714188568894458,0.2957069421019019,0.3055977184125216,0.2971598418944678
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,1.0,1.0,1.0,1.0,1.0,1.0,1.0
56,0.0,0.25303681168423964,0.28407256927266666,0.191312044749304,0.2910486535307927,0.29682666173247,0.28847806771972123
57,0.0,0.12240616071555824,0.17683718061204748,0.1264169099611065,0.18937690328391216,0.18538894063063932,0.15904925731325842
58,0.0,0.002300502227704471,0.10210891140102932,0.05887490838884674,0.10561272460719098,0.07779539976787138,0.07741087904073425
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,0.8511502097726451,0.30535787954066984,0.47182583559381874,0.6234520092861162,0.4526728301014962,0.5339208617746574
62,0.0,1.0,1.0,1.0,1.0,1.0,1.0
