,Reward,Error,Time,Max V,Mean V,Alpha,Epsilon
7256,0.0,0.08131655652907904,48.056678771972656,1.0,0.22984811062108945,0.01,0.01
7257,0.0,0.009945599088022672,48.07195496559143,1.0,0.2298532161516546,0.01,0.01
7258,0.0,0.010630730964028251,48.080116987228394,1.0,0.2298291211174544,0.01,0.01
7259,0.0,0.0,48.08019495010376,1.0,0.2298291211174544,0.01,0.01
7260,0.0,0.0,48.080249071121216,1.0,0.2298291211174544,0.01,0.01
7261,0.0,0.02210659456528121,48.080923080444336,1.0,0.22978954842829863,0.01,0.01
7262,0.0,0.004722087341712387,48.10805892944336,1.0,0.22979373255896862,0.01,0.01
7263,0.0,0.00862496812851464,48.12233901023865,1.0,0.22977746438195462,0.01,0.01
7264,0.0,0.0007329558539103664,48.125319957733154,1.0,0.2297660119467373,0.01,0.01
7265,0.0,0.004704380685428802,48.136040925979614,1.0,0.2298009448542638,0.01,0.01
7266,0.0,0.0,48.13609004020691,1.0,0.2298009448542638,0.01,0.01
7267,0.0,0.013346092486665129,48.15024995803833,1.0,0.22976633319685566,0.01,0.01
7268,0.0,0.0037997821756485892,48.1503689289093,1.0,0.229806511885719,0.01,0.01
7269,0.0,0.0,48.15041494369507,1.0,0.229806511885719,0.01,0.01
7270,0.0,0.0013699649211834086,48.15078282356262,1.0,0.2297851061838255,0.01,0.01
7271,0.0,0.0,48.150826930999756,1.0,0.2297851061838255,0.01,0.01
7272,0.0,0.008895903141472431,48.151681900024414,1.0,0.22971682230052345,0.01,0.01
7273,0.0,0.0,48.15171790122986,1.0,0.22971682230052345,0.01,0.01
7274,0.0,0.005066889962509794,48.15261793136597,1.0,0.22974919280904088,0.01,0.01
7275,0.0,0.0,48.15266394615173,1.0,0.22974919280904088,0.01,0.01
7276,0.0,0.011048867342996857,48.16495680809021,1.0,0.2296128143411949,0.01,0.01
7277,0.0,0.010962619644884902,48.17361092567444,1.0,0.2296886611595194,0.01,0.01
7278,1.0,0.0,48.173665046691895,1.0,0.2296886611595194,0.01,0.01
7279,0.0,0.009808877607015765,48.18333292007446,1.0,0.2297090917942824,0.01,0.01
7280,0.0,0.01568291384718573,48.19094800949097,1.0,0.22970741028364589,0.01,0.01
7281,0.0,0.0,48.190997838974,1.0,0.22970741028364589,0.01,0.01
7282,0.0,0.0006602371488004938,48.20050406455994,1.0,0.22971772648909589,0.01,0.01
7283,0.0,0.0,48.20054793357849,1.0,0.22971772648909589,0.01,0.01
7284,0.0,0.00997221938462163,48.209343910217285,1.0,0.2297470001323162,0.01,0.01
7285,0.0,0.0,48.20939588546753,1.0,0.2297470001323162,0.01,0.01
7286,0.0,0.013056234860231442,48.22528409957886,1.0,0.22976036418156898,0.01,0.01
7287,0.0,0.0033969614834312156,48.239731788635254,1.0,0.22976705211687581,0.01,0.01
