,Reward,Error,Time,Max V,Mean V,Alpha,Epsilon
190,0.0,0.0,1.0477409362792969,1.0,0.03823516744408718,0.01,0.8268805241487632
191,0.0,0.0,1.0477898120880127,1.0,0.03823516744408718,0.01,0.8260536436246144
192,-0.1,0.101,1.0478458404541016,1.0,0.03823516744408718,0.01,0.8252275899809898
193,-0.1,0.008599265301535902,1.0480389595031738,1.0,0.03823516744408718,0.01,0.8244023623910088
194,0.0,0.0,1.0558249950408936,1.0,0.03823516744408718,0.01,0.8235779600286178
195,0.0,0.0,1.0558757781982422,1.0,0.03823516744408718,0.01,0.8227543820685892
196,0.0,0.0,1.0661859512329102,1.0,0.03823516744408718,0.01,0.8219316276865206
197,0.0,0.0,1.0662269592285156,1.0,0.03823516744408718,0.01,0.8211096960588341
198,0.0,0.1591602860463792,1.0931448936462402,1.0,0.03711091304732583,0.01,0.8202885863627752
199,-0.1,0.10003696232490882,1.0931918621063232,1.0,0.03711091304732583,0.01,0.8194682977764125
200,0.0,0.0,1.093238115310669,1.0,0.03711091304732583,0.01,0.818648829478636
201,0.0,0.0,1.1030659675598145,1.0,0.03711091304732583,0.01,0.8178301806491574
202,0.0,0.0,1.1165997982025146,1.0,0.03711091304732583,0.01,0.8170123504685082
203,0.0,0.0,1.1235969066619873,1.0,0.03711091304732583,0.01,0.8161953381180397
204,0.0,0.0,1.1236448287963867,1.0,0.03711091304732583,0.01,0.8153791427799216
205,-0.1,0.0,1.123694896697998,1.0,0.03711091304732583,0.01,0.8145637636371417
206,-0.1,0.10990000000000001,1.1237671375274658,1.0,0.03726560054732583,0.01,0.8137491998735046
207,0.0,0.0,1.1354598999023438,1.0,0.03726560054732583,0.01,0.812935450673631
208,0.0,0.013210237572100221,1.1551659107208252,1.0,0.03733881805802296,0.01,0.8121225152229574
209,0.0,0.0,1.1692259311676025,1.0,0.03733881805802296,0.01,0.8113103927077344
210,0.0,0.0,1.1692769527435303,1.0,0.03733881805802296,0.01,0.8104990823150267
211,-0.1,0.1,1.1693460941314697,1.0,0.03733881805802296,0.01,0.8096885832327116
212,0.0,0.0,1.1693880558013916,1.0,0.03733881805802296,0.01,0.8088788946494789
213,0.0,0.0,1.180959939956665,1.0,0.03733881805802296,0.01,0.8080700157548294
214,0.0,0.0,1.1907188892364502,1.0,0.03733881805802296,0.01,0.8072619457390746
215,0.0,0.0,1.205871820449829,1.0,0.03733881805802296,0.01,0.8064546837933355
216,-0.1,0.10576577130120292,1.2059850692749023,1.0,0.03733881805802296,0.01,0.8056482291095421
217,-0.1,0.0010000000000000009,1.2060399055480957,1.0,0.03733881805802296,0.01,0.8048425808804326
