,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__activation,param_model__hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
9,0.1561612288157145,0.03719647922543168,0.0018550554911295574,0.00012748749706806086,relu,"(22, 22)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (22, 22)}",0.5490045941807045,0.552833078101072,0.5673813169984686,0.5564063297600818,0.007916315681097914,1,0.6125574272588055,0.557427258805513,0.5934150076569679,0.5877998979070954,0.022854335278737734
0,0.1147771676381429,0.05245881792630049,0.001352548599243164,4.783407981343237e-05,tanh,"(11,)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (11,)}",0.5451761102603369,0.5321592649310873,0.5505359877488515,0.5426237876467587,0.007716292219413445,8,0.5624042879019908,0.5371362940275651,0.5784839203675345,0.5593415007656968,0.017018461539734193
1,0.1050110658009847,0.03600626125652336,0.0016478697458902996,8.310687873303297e-05,tanh,"(22,)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (22,)}",0.5405819295558959,0.554364471669219,0.5313935681470138,0.5421133231240428,0.009440143955542076,9,0.5803981623277182,0.5750382848392037,0.5260336906584993,0.5604900459418071,0.024462384542124016
2,0.09961795806884766,0.030087471575712156,0.0019482771555582683,3.60321567305055e-05,tanh,"(33,)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (33,)}",0.5497702909647779,0.5329249617151608,0.5505359877488515,0.5444104134762634,0.00812745448090386,6,0.5876722817764165,0.5413476263399694,0.5451761102603369,0.5580653394589076,0.02099353229491334
3,0.1313332716623942,0.03382057538701012,0.0019386609395345051,5.249012425260796e-05,tanh,"(22, 11)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (22, 11)}",0.5405819295558959,0.5704441041347627,0.555895865237366,0.5556406329760082,0.012192517521690842,3,0.5482388973966309,0.580781010719755,0.5692955589586524,0.5661051556916794,0.013475441604098323
4,0.13367335001627603,0.030679197149829255,0.0021539529164632163,6.260151364452187e-05,tanh,"(22, 22)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (22, 22)}",0.5252679938744257,0.5597243491577335,0.5444104134762634,0.5431342521694743,0.014095662349651945,7,0.6018376722817764,0.5654670750382849,0.5444104134762634,0.5705717202654416,0.023720814567944244
5,0.10936705271402995,0.015585736562813859,0.0013100306193033855,4.9056453324328555e-05,relu,"(11,)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (11,)}",0.557427258805513,0.5612557427258805,0.5459418070444104,0.5548749361919346,0.006507171405810077,4,0.5834609494640123,0.552833078101072,0.5524502297090352,0.5629147524247066,0.014529195958627688
6,0.09560068448384602,0.015409230452842718,0.0015042622884114583,3.8550317437964405e-05,relu,"(22,)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (22,)}",0.5306278713629403,0.5650842266462481,0.5490045941807045,0.548238897396631,0.01407716409712882,5,0.5601071975497703,0.5566615620214395,0.5735068912710567,0.5634252169474222,0.007266279145220421
7,0.1303869883219401,0.01858559354653542,0.0016411940256754558,3.538586529303384e-05,relu,"(33,)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (33,)}",0.5459418070444104,0.5849923430321593,0.5604900459418071,0.5638080653394589,0.016114031768927624,1,0.6052833078101072,0.5765696784073507,0.5842266462480857,0.588693210821848,0.012140312398188122
8,0.14561088879903158,0.021031430665570144,0.0016941229502360027,5.180557701604189e-05,relu,"(22, 11)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (22, 11)}",0.5222052067381318,0.5482388973966309,0.5513016845329249,0.5405819295558959,0.013054325525823772,10,0.5892036753445635,0.5692955589586524,0.5773353751914242,0.5786115364982134,0.008177396295865638
