,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
3,1.2385100523630779,0.014302401092333588,0.02192529042561849,3.241635502229939e-05,75,{'model__n_estimators': 75},0.5229709035222052,0.5199081163859112,0.5444104134762634,0.5290964777947932,0.010900539307842076,5,0.7009954058192955,0.7323889739663093,0.6990811638591118,0.7108218478815722,0.01527027125357727
4,1.6420355637868245,0.018536322763966998,0.028549750645955402,0.00037028415556039206,100,{'model__n_estimators': 100},0.5673813169984686,0.5222052067381318,0.5758039816232772,0.5551301684532925,0.023534020024978047,4,0.7411944869831547,0.7170750382848392,0.7312404287901991,0.729836651352731,0.009896628877152286
5,3.1401867071787515,0.039641792805710487,0.056328932444254555,0.001001989005623085,200,{'model__n_estimators': 200},0.5727411944869831,0.5535987748851455,0.5865237366003063,0.5709545686574783,0.013500797504275845,3,0.7928790199081164,0.7944104134762634,0.777947932618683,0.7884124553343542,0.007425899196516667
6,4.5859620571136475,0.07209755069722594,0.09128260612487793,0.011321338867107516,300,{'model__n_estimators': 300},0.5934150076569679,0.555895865237366,0.5819295558958653,0.5770801429300664,0.015696265300175403,2,0.7970903522205207,0.8005359877488515,0.8066615620214395,0.801429300663604,0.00395815784054892
7,7.584386666615804,0.13464962008795817,0.13549566268920898,0.0024839882205960374,500,{'model__n_estimators': 500},0.5957120980091883,0.5742725880551302,0.5857580398162328,0.5852475752935171,0.0087600828492754,1,0.8506891271056661,0.8292496171516079,0.8135528330781011,0.8311638591117917,0.015221132792645812
0,0.1956489086151123,0.0022321383862356626,0.0035886764526367188,4.583634645898425e-05,10,{'model__n_estimators': 10},0.5122511485451761,0.4892802450229709,0.4670750382848392,0.4895354772843287,0.01844395279748815,8,0.599540581929556,0.5696784073506891,0.5447932618683001,0.5713374170495151,0.022381264461717305
1,0.5263787110646566,0.013986039302575505,0.00913238525390625,0.0001448859328050285,30,{'model__n_estimators': 30},0.5283307810107197,0.5114854517611026,0.5153139356814701,0.5183767228177641,0.0072100290412585605,7,0.6424196018376723,0.5976263399693721,0.6416539050535988,0.627233282286881,0.020937603300211046
2,0.8505112330118815,0.018924097520802118,0.01476271947224935,0.00016867282747328035,50,{'model__n_estimators': 50},0.5382848392036753,0.5421133231240429,0.5199081163859112,0.5334354262378764,0.00969210696582315,6,0.7036753445635529,0.6895099540581929,0.6787901990811639,0.6906584992343032,0.010191728130730679
3,1.2325349648793538,0.012918932571929777,0.021596829096476238,0.00044437306176468155,75,{'model__n_estimators': 75},0.5513016845329249,0.5214395099540582,0.5405819295558959,0.5377743746809597,0.012351764811192299,5,0.7151607963246555,0.6653905053598775,0.7143950995405819,0.6983154670750382,0.023283562168045883
4,1.6070074240366619,0.02152351098112617,0.027661879857381184,0.0003615705770318451,100,{'model__n_estimators': 100},0.5895865237366003,0.5505359877488515,0.5336906584992342,0.5579377233282287,0.023411908719690913,4,0.7522970903522205,0.7029096477794793,0.7404287901990811,0.7318785094435937,0.02104931268422158
