,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_model__degree,param_model__kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
1,0.1941539446512858,0.0640426476796468,0.5727411944869831,0.6246809596733027,,rbf,{'model__kernel': 'rbf'},1,0.5842266462480857,0.6175344563552833,0.5750382848392037,0.6240428790199081,0.55895865237366,0.6324655436447167,0.00529757593310831,0.0004350756203051268,0.01044271186599222,0.006112266470050093
0,0.22452123959859213,0.04110598564147949,0.5242470648289944,0.5308831036242981,,linear,{'model__kernel': 'linear'},2,0.5229709035222052,0.5271822358346095,0.5214395099540582,0.5356049004594181,0.5283307810107197,0.5298621745788668,0.006322396357863872,0.0009725217657882315,0.0029545270298086223,0.003513501760575857
1,0.1954499880472819,0.06408270200093587,0.5678917815211842,0.6228943338437979,,rbf,{'model__kernel': 'rbf'},1,0.5666156202143952,0.6236600306278713,0.5635528330781011,0.6282542113323124,0.5735068912710567,0.6167687595712098,0.006565437772024081,0.0011506830265160478,0.00416271220783565,0.004720071977771038
0,0.21872862180074057,0.04104073842366537,0.5257784583971414,0.5297345584481878,,linear,{'model__kernel': 'linear'},2,0.5298621745788668,0.5321592649310873,0.5229709035222052,0.5275650842266463,0.5245022970903522,0.52947932618683,0.00814884948246145,0.0008792924676855677,0.0029545270298086223,0.0018842295891058555
1,0.1942593256632487,0.06438231468200684,0.5691679428279736,0.6234047983665135,,rbf,{'model__kernel': 'rbf'},1,0.5627871362940275,0.6255742725880551,0.5681470137825421,0.6248085758039816,0.5765696784073507,0.6198315467075038,0.0027672529631296156,0.00026472351112709645,0.005672820513244766,0.0025459338110336753
0,0.2228700319925944,0.042684713999430336,0.5273098519652885,0.5280755487493619,,linear,{'model__kernel': 'linear'},2,0.5321592649310873,0.5256508422664625,0.5245022970903522,0.5302450229709035,0.5252679938744257,0.5283307810107197,0.013268698540990683,0.0015496622261989888,0.003443271455648839,0.001884229589105808
1,0.1947319507598877,0.06441291173299153,0.5740173557937723,0.6222562531904032,,rbf,{'model__kernel': 'rbf'},1,0.5796324655436447,0.614854517611026,0.5712098009188361,0.6294027565084227,0.5712098009188361,0.622511485451761,0.0029299945939914836,0.00033923745831145936,0.003970482181241455,0.005942035082604812
0,0.21752103169759116,0.041378021240234375,0.5211842776927004,0.5298621745788669,,linear,{'model__kernel': 'linear'},2,0.5206738131699847,0.5271822358346095,0.5183767228177641,0.5359877488514548,0.5245022970903522,0.526416539050536,0.007753278782698808,0.0015197385357365847,0.002526670478971848,0.0043427002366446
1,0.19384551048278809,0.06499346097310384,0.5643185298621746,0.6193210821847882,,rbf,{'model__kernel': 'rbf'},1,0.5658499234303216,0.6156202143950995,0.5604900459418071,0.6244257274119449,0.5666156202143952,0.6179173047473201,0.003178328636960593,0.0018380514913977893,0.002725134826960522,0.0037293617141915653
0,0.23021658261617026,0.04141640663146973,0.5250127616130679,0.5292240939254722,,linear,{'model__kernel': 'linear'},2,0.5260336906584993,0.5352220520673813,0.5390505359877489,0.5225880551301685,0.5099540581929556,0.5298621745788668,0.006067240974896859,0.0009581055411948126,0.011900503549642451,0.00517750453677914
