,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__activation,param_model__hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
5,0.033798615137736,0.005928884868779781,0.0016152064005533855,0.00011578020142192727,relu,"(48,)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (48,)}",0.7565543071161048,0.7303370786516854,0.7368421052631579,0.741244497010316,0.011146645441879988,7,0.9043151969981238,0.8030018761726079,0.8164794007490637,0.8412654913065984,0.044921115732791075
6,0.052062670389811196,0.010496870148554943,0.0016204516092936199,8.760778922729918e-06,relu,"(96,)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (96,)}",0.7453183520599251,0.7415730337078652,0.7443609022556391,0.7437507626744765,0.0015887217337522675,6,0.9681050656660413,0.8386491557223265,0.9194756554307116,0.9087432922730265,0.05339223332439609
7,0.04120930035909017,0.0012314765640416936,0.001701672871907552,1.4684640527305724e-05,relu,"(144,)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (144,)}",0.7490636704119851,0.7378277153558053,0.7556390977443609,0.747510161170717,0.007353973024602239,5,0.797373358348968,0.8161350844277674,0.8052434456928839,0.806250629489873,0.007692481427327292
8,0.06283863385518391,0.015771377234207438,0.0017594496409098308,7.514720973390524e-05,relu,"(96, 48)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (96, 48)}",0.7677902621722846,0.7340823970037453,0.7631578947368421,0.7550101846376239,0.014918532735064391,2,0.8161350844277674,0.9624765478424016,0.8352059925093633,0.8712725415931774,0.06495923311685853
9,0.055244763692220054,0.004747482225921534,0.0019040107727050781,2.485125345161471e-05,relu,"(96, 96)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (96, 96)}",0.7752808988764045,0.7415730337078652,0.7330827067669173,0.749978879783729,0.018223895312027966,4,0.8180112570356473,0.8799249530956847,0.8127340823970037,0.8368900975094453,0.030506406316685383
0,0.034126996994018555,0.005411634995727881,0.0016336441040039062,0.00010990570687427599,tanh,"(48,)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (48,)}",0.7453183520599251,0.7565543071161048,0.7481203007518797,0.7499976533093031,0.004775284352773902,6,0.8386491557223265,0.851782363977486,0.7771535580524345,0.822528359250749,0.03252972720049841
1,0.051590283711751304,0.018998208070605843,0.0017712910970052083,3.178179179050235e-05,tanh,"(96,)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (96,)}",0.7340823970037453,0.7490636704119851,0.7406015037593985,0.7412491903917097,0.006133202627956766,8,0.9699812382739212,0.8123827392120075,0.8164794007490637,0.8662811260783307,0.07334612287399532
2,0.046967665354410805,0.010770687706681702,0.0018808841705322266,1.226408114396256e-05,tanh,"(144,)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (144,)}",0.7265917602996255,0.7640449438202247,0.6992481203007519,0.7299616081402007,0.026560296062668402,10,0.8761726078799249,0.799249530956848,0.7734082397003745,0.8162767928457159,0.0436468752406524
3,0.06717991828918457,0.02236289447086407,0.0019474029541015625,2.9938387207684065e-05,tanh,"(96, 48)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (96, 48)}",0.7565543071161048,0.7340823970037453,0.7631578947368421,0.7512648662855641,0.01244534130593112,5,0.9737335834896811,0.7673545966228893,0.9082397003745318,0.8831092934957008,0.08610739251060293
4,0.08040595054626465,0.022585345536025172,0.002255598704020182,1.1494204509376705e-05,tanh,"(96, 96)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (96, 96)}",0.7528089887640449,0.7677902621722846,0.7518796992481203,0.7574929833948166,0.007291152511401384,2,0.9624765478424016,0.7861163227016885,0.9625468164794008,0.9037132290078302,0.08315357484398751
5,0.03196271260579427,0.0007096021141681193,0.0015825430552164714,0.00014469295120394645,relu,"(48,)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (48,)}",0.7602996254681648,0.7640449438202247,0.7706766917293233,0.7650070870059041,0.004290700461807362,1,0.7729831144465291,0.8311444652908068,0.8352059925093633,0.8131111907488998,0.02842324027544394
