,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
8,0.003190914789835612,5.1659437284469846e-05,0.06017947196960449,0.0009396797197845865,33,{'model__n_neighbors': 33},0.6462480857580398,0.6347626339969372,0.6516079632465543,0.6442062276671772,0.007027003521151703,1,1.0,1.0,1.0,1.0,0.0
9,0.0032476584116617837,0.00013956284985859404,0.0620725154876709,0.0009085286086129085,37,{'model__n_neighbors': 37},0.6470137825421133,0.6286370597243491,0.6485451761102603,0.6413986727922409,0.00904545438829471,3,1.0,1.0,1.0,1.0,0.0
10,0.0032869974772135415,9.178884786818889e-05,0.06421097119649251,0.0005380081456345406,41,{'model__n_neighbors': 41},0.6462480857580398,0.6255742725880551,0.6508422664624809,0.6408882082695252,0.010989816305059236,6,1.0,1.0,1.0,1.0,0.0
11,0.0032050609588623047,2.8588366101977525e-05,0.06840928395589192,0.0017844599309161154,45,{'model__n_neighbors': 45},0.6431852986217458,0.6301684532924962,0.6508422664624809,0.6413986727922409,0.008534075292139114,3,1.0,1.0,1.0,1.0,0.0
12,0.0032072861989339194,7.231969099520013e-05,0.0672462781270345,0.0007088865398983631,49,{'model__n_neighbors': 49},0.6401225114854517,0.6370597243491577,0.6462480857580398,0.641143440530883,0.0038199667042102706,5,1.0,1.0,1.0,1.0,0.0
0,0.0030454794565836587,2.3109253650039464e-05,0.023575782775878906,0.0008745601886141614,1,{'model__n_neighbors': 1},0.5849923430321593,0.5895865237366003,0.5926493108728943,0.5890760592138846,0.0031467146518473267,13,1.0,1.0,1.0,1.0,0.0
1,0.0031561056772867837,0.00010885478562708877,0.04285534222920736,0.0021439037207975926,5,{'model__n_neighbors': 5},0.6018376722817764,0.6194486983154671,0.6049004594180705,0.6087289433384381,0.007682448669368268,12,1.0,1.0,1.0,1.0,0.0
2,0.003156900405883789,1.632543546837394e-05,0.04644163449605306,0.0002600930220751636,9,{'model__n_neighbors': 9},0.6110260336906586,0.6316998468606432,0.613323124042879,0.6186830015313936,0.009251949443793678,11,1.0,1.0,1.0,1.0,0.0
3,0.0032183329264322915,0.00012025648679166615,0.05113625526428223,0.0015920909716708002,13,{'model__n_neighbors': 13},0.6217457886676876,0.6477794793261868,0.6294027565084227,0.6329760081674324,0.010924417845345945,8,1.0,1.0,1.0,1.0,0.0
4,0.00317231814066569,4.4582503471181054e-05,0.05232564608256022,0.0007280316650644825,17,{'model__n_neighbors': 17},0.6171516079632465,0.6531393568147014,0.6271056661562021,0.6324655436447166,0.01517290857345774,9,1.0,1.0,1.0,1.0,0.0
5,0.003272851308186849,4.848495814854191e-06,0.05426335334777832,0.00042569119308647434,21,{'model__n_neighbors': 21},0.6171516079632465,0.6569678407350689,0.6309341500765697,0.635017866258295,0.016509404419393785,7,1.0,1.0,1.0,1.0,0.0
6,0.0033966700236002603,0.00032475553131214996,0.0570986270904541,0.0004447663074103812,25,{'model__n_neighbors': 25},0.6110260336906586,0.6493108728943339,0.6294027565084227,0.6299132210311384,0.015633887525383913,10,1.0,1.0,1.0,1.0,0.0
7,0.0031677881876627603,1.8550061833902758e-05,0.058652242024739586,0.00039695427721355515,29,{'model__n_neighbors': 29},0.6125574272588055,0.6615620214395099,0.6385911179173047,0.6375701888718733,0.02001906232886941,4,1.0,1.0,1.0,1.0,0.0
8,0.0032041072845458984,3.064459455096644e-05,0.06131251653035482,0.0015322909429664189,33,{'model__n_neighbors': 33},0.6079632465543645,0.666156202143951,0.6309341500765697,0.6350178662582951,0.023932022807005685,6,1.0,1.0,1.0,1.0,0.0
9,0.003191788991292318,3.952542549079936e-05,0.06198596954345703,0.00016766607527348101,37,{'model__n_neighbors': 37},0.6186830015313936,0.6584992343032159,0.6385911179173047,0.6385911179173047,0.016254908961807705,1,1.0,1.0,1.0,1.0,0.0
10,0.0031886895497639975,4.659699185466192e-05,0.06443929672241211,0.0001880943791861341,41,{'model__n_neighbors': 41},0.6163859111791731,0.6592649310872895,0.6370597243491577,0.6375701888718734,0.017509007540727404,3,1.0,1.0,1.0,1.0,0.0
11,0.0031546751658121743,1.0943617665301245e-05,0.06569997469584148,0.00027213997537524766,45,{'model__n_neighbors': 45},0.6194486983154671,0.663093415007657,0.6309341500765697,0.6378254211332313,0.018472186955305975,2,1.0,1.0,1.0,1.0,0.0
12,0.0032352606455485025,6.494163037079586e-05,0.06817412376403809,0.00048307357954781505,49,{'model__n_neighbors': 49},0.6179173047473201,0.6600306278713629,0.6316998468606432,0.6365492598264421,0.017531316754542493,5,1.0,1.0,1.0,1.0,0.0
0,0.0031720797220865884,3.360057621041122e-05,0.023645559946695965,0.0013914042139611547,1,{'model__n_neighbors': 1},0.5987748851454824,0.6041347626339969,0.6347626339969372,0.6125574272588056,0.015853190559744303,13,1.0,1.0,1.0,1.0,0.0
1,0.0033044815063476562,0.00016869222281105738,0.04075050354003906,0.0011912289985967588,5,{'model__n_neighbors': 5},0.6271056661562021,0.6163859111791731,0.6362940275650842,0.6265952016334865,0.008135465773613688,12,1.0,1.0,1.0,1.0,0.0
