,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
6,0.003246307373046875,2.50789449915373e-05,0.010016361872355143,4.752822531703445e-05,25,{'model__n_neighbors': 25},0.7378277153558053,0.7453183520599251,0.7406015037593985,0.7412491903917097,0.0030921441361977135,5,1.0,1.0,1.0,1.0,0.0
7,0.003213644027709961,9.774192513897573e-06,0.010317405064900717,9.7858233834912e-05,29,{'model__n_neighbors': 29},0.7378277153558053,0.7453183520599251,0.7406015037593985,0.7412491903917097,0.0030921441361977135,5,1.0,1.0,1.0,1.0,0.0
8,0.0032079219818115234,2.492662158739538e-05,0.010522047678629557,8.179815266336305e-05,33,{'model__n_neighbors': 33},0.7378277153558053,0.7415730337078652,0.7330827067669173,0.7374944852768626,0.0034741612517920923,7,1.0,1.0,1.0,1.0,0.0
9,0.003228267033894857,1.1311419889662388e-05,0.010713577270507812,0.00010934674202951991,37,{'model__n_neighbors': 37},0.7191011235955056,0.7528089887640449,0.7368421052631579,0.7362507392075694,0.013767530132256423,8,1.0,1.0,1.0,1.0,0.0
10,0.0032134056091308594,6.252691067069625e-05,0.011128584543863932,2.391908641438054e-05,41,{'model__n_neighbors': 41},0.7116104868913857,0.7415730337078652,0.7255639097744361,0.7262491434578956,0.012241751286291836,11,1.0,1.0,1.0,1.0,0.0
11,0.003191391626993815,2.0141627652058256e-05,0.011320273081461588,4.790189947401677e-05,45,{'model__n_neighbors': 45},0.7116104868913857,0.7378277153558053,0.7368421052631579,0.7287601025034496,0.012133283247465522,10,1.0,1.0,1.0,1.0,0.0
12,0.003338972727457682,0.00022142000174759285,0.011520624160766602,3.837329563359062e-05,49,{'model__n_neighbors': 49},0.7116104868913857,0.7415730337078652,0.7368421052631579,0.7300085419541363,0.013151976874377368,9,1.0,1.0,1.0,1.0,0.0
0,0.0038324197133382163,0.0003598887890053692,0.008832852045694986,0.00010875447798172222,1,{'model__n_neighbors': 1},0.6891385767790262,0.6891385767790262,0.6879699248120301,0.6887490261233609,0.0005509078204733001,13,1.0,1.0,1.0,1.0,0.0
1,0.0035816033681233725,8.810554924132404e-05,0.009272098541259766,2.633922890651651e-05,5,{'model__n_neighbors': 5},0.7078651685393258,0.7265917602996255,0.7218045112781954,0.7187538133723823,0.007943608668761351,10,1.0,1.0,1.0,1.0,0.0
2,0.004443248112996419,0.0002922234017740709,0.013145764668782553,0.0002500958493151155,9,{'model__n_neighbors': 9},0.7265917602996255,0.7565543071161048,0.7443609022556391,0.7425023232237898,0.012302555017709446,3,1.0,1.0,1.0,1.0,0.0
3,0.004164218902587891,0.0004838847452092215,0.012135187784830729,0.0018656926537363588,13,{'model__n_neighbors': 13},0.7453183520599251,0.7565543071161048,0.7255639097744361,0.742478856316822,0.0128101062682283,4,1.0,1.0,1.0,1.0,0.0
4,0.0034661293029785156,2.6898011734333905e-05,0.009979327519734701,3.965321410410454e-05,17,{'model__n_neighbors': 17},0.7378277153558053,0.7677902621722846,0.7443609022556391,0.7499929599279097,0.012864126039760483,1,1.0,1.0,1.0,1.0,0.0
5,0.0034832159678141275,9.032474225205275e-05,0.010444164276123047,2.893095910817875e-05,21,{'model__n_neighbors': 21},0.7415730337078652,0.7490636704119851,0.7481203007518797,0.7462523349572434,0.0033311040928122363,2,1.0,1.0,1.0,1.0,0.0
6,0.003461122512817383,3.5523568214777325e-06,0.010616381963094076,0.00014205644180134488,25,{'model__n_neighbors': 25},0.7303370786516854,0.7528089887640449,0.7368421052631579,0.7399960575596295,0.009441301017014013,5,1.0,1.0,1.0,1.0,0.0
