,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_model__degree,param_model__kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.03634413083394369,0.0035950342814127603,0.7337914073573447,0.8225014229398994,,linear,{'model__kernel': 'linear'},2,0.7191011235955056,0.8273921200750469,0.7153558052434457,0.8198874296435272,0.7669172932330827,0.8202247191011236,0.004685559833731863,2.744565034758171e-05,0.023473390447893462,0.0034609853987323355
1,0.014426708221435547,0.005708217620849609,0.7512601729041705,0.9043807810593231,,rbf,{'model__kernel': 'rbf'},1,0.7415730337078652,0.9136960600375235,0.7528089887640449,0.9043151969981238,0.7593984962406015,0.8951310861423221,0.00018275910307754905,3.441165648015731e-05,0.007359162160298109,0.0075792607328239205
0,0.03686189651489258,0.00346525510152181,0.7450367491763116,0.8150049305160295,,linear,{'model__kernel': 'linear'},2,0.7378277153558053,0.8086303939962477,0.7228464419475655,0.8292682926829268,0.7744360902255639,0.8071161048689138,0.006623455326578506,3.818288410810349e-05,0.02166949589985576,0.010104648867999633
1,0.01404134432474772,0.00561070442199707,0.7487586006214038,0.908127270555333,,rbf,{'model__kernel': 'rbf'},1,0.7490636704119851,0.9024390243902439,0.7415730337078652,0.9174484052532833,0.7556390977443609,0.9044943820224719,0.00031152355411415085,0.0001619956728451987,0.005746496906959539,0.006644234984410103
0,0.0366823673248291,0.0034775733947753906,0.7424976298423962,0.8025064822817631,,linear,{'model__kernel': 'linear'},2,0.7677902621722846,0.7954971857410882,0.7191011235955056,0.8198874296435272,0.7406015037593985,0.7921348314606742,0.004569645780548358,0.00010244584914344397,0.019922424959981925,0.012366604356655157
1,0.014034112294514975,0.005533615748087565,0.7512367059972028,0.9056339050858098,,rbf,{'model__kernel': 'rbf'},1,0.7677902621722846,0.9099437148217636,0.7453183520599251,0.9155722326454033,0.7406015037593985,0.8913857677902621,0.0004593751416987368,0.0001646930397181974,0.011862471102985215,0.01033367038753535
0,0.032184600830078125,0.0035979747772216797,0.7575399172087524,0.8093810972681896,,linear,{'model__kernel': 'linear'},1,0.7415730337078652,0.8273921200750469,0.7415730337078652,0.801125703564728,0.7894736842105263,0.799625468164794,0.0026258108954059388,7.501084500344463e-05,0.022580583195785656,0.012750434854692967
1,0.014096657435099283,0.00568540891011556,0.7475195479335041,0.9050003162088665,,rbf,{'model__kernel': 'rbf'},2,0.7191011235955056,0.9080675422138836,0.7602996254681648,0.9024390243902439,0.7631578947368421,0.9044943820224719,2.841107494788488e-05,0.00012691161282746443,0.020128711785142115,0.002325515035926385
0,0.04804499944051107,0.003404378890991211,0.7449757352181953,0.8137553199213928,,linear,{'model__kernel': 'linear'},2,0.7715355805243446,0.8142589118198874,0.7378277153558053,0.8217636022514071,0.7255639097744361,0.8052434456928839,0.004350380453984947,0.00011682040016929989,0.019436550943164443,0.006753719803668772
1,0.01406097412109375,0.005586783091227214,0.7525179991176443,0.909996416299513,,rbf,{'model__kernel': 'rbf'},1,0.7602996254681648,0.8986866791744841,0.7303370786516854,0.9155722326454033,0.7669172932330827,0.9157303370786517,0.0003527184045360864,9.756542191935506e-05,0.015915261149802167,0.007997452287276528
