,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
9,0.31492336591084796,0.008892492483477697,0.01294724146525065,0.00024433808901041604,100,{'model__n_estimators': 100},0.7378277153558053,0.7303370786516854,0.7293233082706767,0.7324960340927223,0.0037927168287551567,3,1.0,1.0,1.0,1.0,0.0
10,0.3413866360982259,0.004404527602708617,0.014051278432210287,0.00011356140522052417,110,{'model__n_estimators': 110},0.7340823970037453,0.7303370786516854,0.7406015037593985,0.7350069931382764,0.004241129111212015,2,1.0,1.0,1.0,1.0,0.0
11,0.377562681833903,0.010312920011032229,0.01665774981180827,0.001722317072904955,120,{'model__n_estimators': 120},0.7265917602996255,0.7265917602996255,0.7255639097744361,0.7262491434578956,0.00048453338427171405,5,1.0,1.0,1.0,1.0,0.0
0,0.031354427337646484,0.000987428499259143,0.0021061102549235025,2.05412361426558e-05,10,{'model__n_estimators': 10},0.6554307116104869,0.7153558052434457,0.6729323308270677,0.6812396158936668,0.025159656206090765,12,1.0,1.0,1.0,1.0,0.0
1,0.06308841705322266,0.0007955566780982231,0.00333253542582194,5.909265392671806e-05,20,{'model__n_estimators': 20},0.7078651685393258,0.7415730337078652,0.706766917293233,0.7187350398468081,0.016155123266797862,5,1.0,1.0,1.0,1.0,0.0
2,0.09399167696634929,0.0016610966077606048,0.004506111145019531,1.304275296262685e-05,30,{'model__n_estimators': 30},0.6928838951310862,0.7378277153558053,0.6992481203007519,0.7099865769292144,0.019857367770662115,10,1.0,1.0,1.0,1.0,0.0
3,0.12854766845703125,0.002178387254245122,0.00573428471883138,0.0001332314554689436,40,{'model__n_estimators': 40},0.6816479400749064,0.7565543071161048,0.6992481203007519,0.7124834558305877,0.031980426678081146,9,1.0,1.0,1.0,1.0,0.0
4,0.15514794985453287,0.0020166886089044494,0.006859699885050456,9.85432055188259e-05,50,{'model__n_estimators': 50},0.7078651685393258,0.7490636704119851,0.7255639097744361,0.7274975829085824,0.01687470410565603,3,1.0,1.0,1.0,1.0,0.0
5,0.1873649756113688,0.0017230285370311254,0.008118549982706705,0.0001301722259954184,60,{'model__n_estimators': 60},0.7191011235955056,0.7340823970037453,0.7030075187969925,0.7187303464654144,0.012688974758986088,6,1.0,1.0,1.0,1.0,0.0
6,0.2168440024058024,0.0026653259750402843,0.009240945180257162,7.79796025682326e-05,70,{'model__n_estimators': 70},0.7078651685393258,0.7565543071161048,0.7180451127819549,0.7274881961457952,0.020968816870129248,4,1.0,1.0,1.0,1.0,0.0
7,0.25185759862263996,0.0019215554622939515,0.010572989781697592,9.432648415200098e-05,80,{'model__n_estimators': 80},0.7153558052434457,0.7453183520599251,0.7255639097744361,0.7287460223592689,0.012437388078138831,2,1.0,1.0,1.0,1.0,0.0
8,0.2820916970570882,0.003979812181895972,0.011560678482055664,0.0001638615123471764,90,{'model__n_estimators': 90},0.7228464419475655,0.7303370786516854,0.6992481203007519,0.7174772136333343,0.013247698978924012,7,1.0,1.0,1.0,1.0,0.0
9,0.3192324638366699,0.0014279736816765602,0.013106028238932291,0.00013760647056128186,100,{'model__n_estimators': 100},0.6928838951310862,0.7415730337078652,0.7105263157894737,0.7149944148761417,0.020126781261516714,8,1.0,1.0,1.0,1.0,0.0
10,0.3434456984202067,0.007263849629291165,0.013953288396199545,0.00023329647474957987,110,{'model__n_estimators': 110},0.7340823970037453,0.7265917602996255,0.7406015037593985,0.7337585536875898,0.00572403609482139,1,1.0,1.0,1.0,1.0,0.0
11,0.3749893506368001,0.008427566353208371,0.015127182006835938,0.00011088078904195463,120,{'model__n_estimators': 120},0.6853932584269663,0.7303370786516854,0.706766917293233,0.7074990847906282,0.018355540417562374,11,1.0,1.0,1.0,1.0,0.0
0,0.03180464108784994,0.00029914038337481923,0.002144336700439453,2.2498259869358973e-05,10,{'model__n_estimators': 10},0.6704119850187266,0.7191011235955056,0.6992481203007519,0.6962537429716614,0.019989710278522907,12,1.0,1.0,1.0,1.0,0.0
